ID,Player,Team,Position,RkOv,Status,Opponent,FPts,FP/G,%D,ADP,Ros %
*061xs*,Julio Enciso,BHA,F,166,FA,LUT Sat 10:00AM,151.5,7.58,97%,78.71,100%
*03am7*,Jacob Murphy,NEW,M,167,FA,AVL Sat 12:30PM,150.25,4.17,5%,347.82,0%
*05up6*,Raphael Varane,MUN,D,168,FA,WOL Mon 3:00PM,149.25,6.22,72%,124.83,100%
*04qos*,Issa Diop,FUL,D,169,FA,@EVE Sat 10:00AM,149,5.96,1%,1127.33,0%
*048xg*,Josh Dasilva,BRF,M,170,FA,TOT Sun 9:00AM,148.5,4.12,1%,1113,0%
*02y6o*,Nathan Ake,MCI,D,171,FA,@BUR Fri 3:00PM,147.75,5.68,86%,107.71,100%
*043qy*,Lewis Cook,BOU,M,172,FA,WHU Sat 10:00AM,147.75,5.28,0%,-,0%
*02yl5*,John Stones,MCI,D,174,FA,@BUR Fri 3:00PM,147,6.39,100%,64.43,100%
*03vlm*,Anthony Martial,MUN,F,173,FA,WOL Mon 3:00PM,147,7,23%,174.03,0%
*051k7*,Reece James,CHE,D,175,FA,LIV Sun 11:30AM,145.5,9.09,100%,31.09,100%
