ID,Player,Team,Position,RkOv,Status,Opponent,FPts,FP/G,%D,ADP,Ros %
*06eww*,Jose Mateo Mejia Piedrahita,MUN,F,571,W (Mon),WOL Mon 3:00PM,0,0,-,-,-
*06ex0*,Jamie Miley,NEW,M,574,W (Mon),AVL Sat 12:30PM,0,0,-,-,-
*06ewy*,Alex Murphy,NEW,D,583,W (Mon),AVL Sat 12:30PM,0,0,-,-,-
*06exi*,Michael Ndiweni,NEW,F,587,W (Mon),AVL Sat 12:30PM,0,0,-,-,-
*06ewo*,Idris Odutayo,FUL,D,598,W (Mon),@EVE Sat 10:00AM,0,0,-,-,-
*06ex1*,Ben Parkinson,NEW,F,613,W (Mon),AVL Sat 12:30PM,0,0,-,-,-
*06exk*,Ashley Phillips,TOT,D,619,W (Mon),@BRF Sun 9:00AM,0,0,-,-,-
*06ex3*,Josh Powell,NOT,M,625,W (Mon),@ARS Sat 7:30AM,0,0,-,-,-
*06ewv*,Logan Pye,MUN,D,626,W (Mon),WOL Mon 3:00PM,0,0,-,-,-
*06dwl*,Ionut Radu,BOU,G,628,W (Mon),WHU Sat 10:00AM,0,0,-,-,-
*06ewx*,Remi Savage,NEW,D,650,W (Mon),AVL Sat 12:30PM,0,0,-,-,-
*06exc*,Jude Smith,NEW,G,657,W (Mon),AVL Sat 12:30PM,0,0,-,-,-
*06ewz*,Jay Turner-Cooke,NEW,M,674,W (Mon),AVL Sat 12:30PM,0,0,-,-,-
*06eo0*,Lesley Ugochukwu,CHE,F,677,W (Mon),LIV Sun 11:30AM,0,0,-,-,-
*05wqy*,Joe White,NEW,M,687,W (Mon),AVL Sat 12:30PM,0,0,-,-,-
*06exm*,Tom Wooster,MUN,G,693,W (Mon),WOL Mon 3:00PM,0,0,-,-,-
*05uem*,Marcelo Pitaluga,LIV,G,700,W (Mon),@CHE Sun 11:30AM,0,0,-,-,-
*06eka*,Igor Julio dos Santos de Paulo,BHA,D,701,W (Mon),LUT Sat 10:00AM,0,0,-,-,-
*058vb*,Cameron Archer,AVL,F,702,W (Mon),@NEW Sat 12:30PM,-0.5,-0.08,2%,1090.45,0%
*063dz*,Luke Harris,FUL,M,703,FA,@EVE Sat 10:00AM,-0.5,-0.17,0%,-,0%
*03pig*,Jamaal Lascelles,NEW,D,704,FA,AVL Sat 12:30PM,-1.75,-0.25,0%,-,0%
